Helység.megnevezése;IRSZ;Településrész;Helység.KSH.kódja;Helység.jogállása;Vármegye.megnevezése;Járás.kódja;Járás.neve;Járás.székhelye;Polgármesteri.hivatal..közös.önkormányzati.hivatal.kódja;Polgármesteri.hivatal..közös.önkormányzati.hivatal.székhelye;Terület...hektár.;Lakó.népesség;Lakások.száma;Becsült.terület.adatokkal;NemzetisegiOnkormanyzat_bolgár;NemzetisegiOnkormanyzat_görög;NemzetisegiOnkormanyzat_horvát;NemzetisegiOnkormanyzat_lengyel;NemzetisegiOnkormanyzat_német;NemzetisegiOnkormanyzat_örmény;NemzetisegiOnkormanyzat_roma;NemzetisegiOnkormanyzat_román;NemzetisegiOnkormanyzat_ruszin;NemzetisegiOnkormanyzat_szerb;NemzetisegiOnkormanyzat_szlovák;NemzetisegiOnkormanyzat_szlovén;NemzetisegiOnkormanyzat_ukrán
Alap;7011;;26824;község;Fejér;084 0;Sárbogárdi;Sárbogárd;2;[Helyben];4829;1840;848;;;;;;;;;;;;;;
Alattyán;5142;;25265;község;Jász-Nagykun-Szolnok;161 0;Jászapáti;Jászapáti;1;–;3429;2060;884;;;;;;;;1;;;;;;
Albertirsa;2730;;31653;város;Pest;124 0;Ceglédi;Cegléd;2;[Helyben];7300;13950;5285;;;;;;;;1;;;;1;;
Alcsútdoboz;8087;;15176;község;Fejér;077 0;Bicskei;Bicske;5;Felcsút;5071;1507;577;;;;;;;;;;;;;;
Aldebrő;3353;;06345;község;Heves;105 0;Füzesabonyi;Füzesabony;5;Kápolna;2178;689;347;;;;;;1;;;;;;;;
Algyő;6750;;34245;nagyközség;Csongrád-Csanád;075 0;Szegedi;Szeged;1;–;7577;5364;2093;;;;;;;;1;;;;;;
Alibánfa;8921;;02644;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Pókaszepetk;584;428;171;;;;;;;;;;;;;;
Almamellék;7934;;13329;község;Baranya;033 0;Szigetvári;Szigetvár;5;Szentlászló;4433;373;170;;;;;;1;;;;;;;;
Almásfüzitő;2931;;32346;község;Komárom-Esztergom;112 0;Komáromi;Komárom;1;–;818;2016;1119;;;;;;;;;;;;;;
Almásháza;8935;;23384;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Nagykapornak;498;75;40;;;;;;;;;;;;;;
Almáskamarás;5747;;29595;község;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;5;Kunágota;1471;643;421;;;;;;1;;;;;;;;
Almáskeresztúr;7932;;20376;község;Baranya;033 0;Szigetvári;Szigetvár;5;Mozsgó;1303;85;51;;;;;;;;;;;;;;
Álmosd;4285;;27641;község;Hajdú-Bihar;101 0;Nyíradonyi;Nyíradony;2;[Helyben];3413;1638;675;;;;;;;;1;;;;;;
Alsóberecki;3985;;20482;község;Borsod-Abaúj-Zemplén;065 0;Sátoraljaújhelyi;Sátoraljaújhely;5;Mikóháza;686;654;280;;;;;;;;;;;;;;
Alsóbogát;7443;;34184;község;Somogy;143 0;Kaposvári;Kaposvár;5;Somogyjád;1201;219;98;;;;;;;;;;;;;;
Alsódobsza;3717;;19664;község;Borsod-Abaúj-Zemplén;066 0;Szerencsi;Szerencs;5;Megyaszó;1068;294;137;;;;;;;;;;;;;;
Alsógagy;3837;;14429;község;Borsod-Abaúj-Zemplén;056 0;Encsi;Encs;5;Szalaszend;628;86;51;;;;;;;;;;;;;;
Alsómocsolád;7345;;17385;község;Baranya;025 0;Hegyháti;Sásd;5;Mágocs;1300;264;134;;;;;;;;;;;;;;
Alsónána;7147;;29665;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Bátaszék;1314;611;281;;;;;;;;;;;;;;
Alsónémedi;2351;;23199;nagyközség;Pest;129 0;Gyáli;Gyál;1;–;4907;5584;2193;;;;;;;;;;;;;;
Alsónemesapáti;8924;;19512;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Nagypáli;1451;668;274;;;;;;;;;;;;;;
Alsónyék;7148;;11563;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Bátaszék;3201;646;299;;;;;;;;;;;;;;
Alsóörs;8226;;30526;község;Veszprém;185 0;Balatonfüredi;Balatonfüred;2;[Helyben];3334;1919;1029;;;;;;;;;;;;;;
Alsópáhok;8394;;32081;község;Zala;193 0;Keszthelyi;Keszthely;2;[Helyben];1802;1462;855;;;;;;;;;;;;;;
Alsópetény;2617;;16425;község;Nógrád;119 0;Rétsági;Rétság;5;Nézsa;1968;573;305;;;;;;;;;;;;1;;
Alsórajk;8767;;18829;község;Zala;196 0;Nagykanizsai;Nagykanizsa;5;Garabonc;845;318;165;;;;;;;;;;;;;;
Alsóregmec;3989;;23223;község;Borsod-Abaúj-Zemplén;065 0;Sátoraljaújhelyi;Sátoraljaújhely;5;Mikóháza;1540;194;88;;;;;;;;;;;;1;;
Alsószenterzsébet;8973;;08767;község;Zala;194 0;Lenti;Lenti;5;Csesztreg;963;53;39;;;;;;;;;;;;;;
Alsószentiván;7012;;25283;község;Fejér;084 0;Sárbogárdi;Sárbogárd;5;Alap;3965;542;281;;;;;;;;;;;;;;
Alsószentmárton;7826;;33279;község;Baranya;031 0;Siklósi;Siklós;5;Siklósnagyfalu;1361;1176;293;;;;;;;;1;;;;;;
Alsószölnök;9983;;22549;község;Vas;180 0;Szentgotthárdi;Szentgotthárd;2;[Helyben];1002;332;172;;;;;;1;;;;;;;1;
Alsószuha;3726;;28839;község;Borsod-Abaúj-Zemplén;063 0;Putnoki;Putnok;5;Ragály;2242;374;165;;;;;;;;1;;;;;;
Alsótelekes;3735;;08217;község;Borsod-Abaúj-Zemplén;058 0;Kazincbarcikai;Kazincbarcika;5;Rudabánya;644;113;93;;;;;;;;;;;;;;
Alsótold;3069;;07621;község;Nógrád;118 0;Pásztói;Pásztó;5;Szurdokpüspöki;786;222;114;;;;;;;;;;;;;;
Alsóújlak;9842;;22725;község;Vas;182 0;Vasvári;Vasvár;5;Kám;2102;525;280;;;;;;;;;;;;;;
Alsóvadász;3811;;29814;község;Borsod-Abaúj-Zemplén;067 0;Szikszói;Szikszó;5;Aszaló;2290;1525;443;;;;;;;;1;;;;;;
Alsózsolca;3571;;21032;város;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;1;–;2602;5459;1877;;;;;;;;1;;;;;;
Ambrózfalva;6916;;16197;község;Csongrád-Csanád;073 0;Makói;Makó;5;Csanádalberti;1122;415;241;;;;;;;;;;;;1;;
Anarcs;4546;;29975;község;Szabolcs-Szatmár-Bereg;153 0;Kisvárdai;Kisvárda;5;Gyulaháza;1706;1841;639;;;;;;;;1;;;;;;
Andocs;8675;;28714;község;Somogy;147 0;Tabi;Tab;2;[Helyben];4327;916;457;;;;;;;;;;;;;;
Andornaktálya;3399;;17987;község;Heves;104 0;Egri;Eger;1;–;1675;2569;1056;;;;;;;;;;;;;;
Andrásfa;9811;;12317;község;Vas;182 0;Vasvári;Vasvár;5;Győrvár;823;238;132;;;;;;;;;;;;;;
Annavölgy;2529;;34227;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;5;Csolnok;483;884;393;;;;;;;;;;;;;;
Apácatorna;8477;;28370;község;Veszprém;186 0;Devecseri;Devecser;5;Tüskevár;729;138;80;;;;;;;;;;;;;;
Apagy;4553;;20303;község;Szabolcs-Szatmár-Bereg;157 0;Nyíregyházi;Nyíregyháza;1;–;3199;2167;854;;;;;;;;;;;;;;
Apaj;2345;;33561;község;Pest;134 0;Ráckevei;Ráckeve;5;Áporka;7104;1093;428;;;;;;;;;;;;;;
Aparhant;7186;;26125;község;Tolna;170 0;Bonyhádi;Bonyhád;2;[Helyben];1797;899;385;;;;;;1;;1;;;;;;
Apátfalva;6931;;14252;község;Csongrád-Csanád;073 0;Makói;Makó;2;[Helyben];5384;2799;1506;;;;;;;;1;1;;;;;
Apátistvánfalva;9982;;08873;község;Vas;180 0;Szentgotthárdi;Szentgotthárd;5;Szentgotthárd;1286;372;161;;;;;;;;;;;;;1;
Apátvarasd;7720;;27298;község;Baranya;029 0;Pécsváradi;Pécsvárad;5;Pécsvárad;814;113;40;;;;;;;;;;;;;;
Apc;3032;;07241;község;Heves;107 0;Hatvani;Hatvan;1;–;2046;2421;1083;;;;;;;;;;;;;;
Áporka;2338;;10108;község;Pest;134 0;Ráckevei;Ráckeve;2;[Helyben];1747;1262;531;;;;;;;;;;;;;;
Apostag;6088;;21148;község;Bács-Kiskun;043 0;Kunszentmiklósi;Kunszentmiklós;2;[Helyben];3194;2031;979;;;;;;;;;;;;;;
Aranyosapáti;4634;;09353;község;Szabolcs-Szatmár-Bereg;159 0;Vásárosnaményi;Vásárosnamény;2;[Helyben];2112;2032;640;;;;;;;;1;;;;;;
Aranyosgadány;7671;;06886;község;Baranya;028 0;Pécsi;Pécs;5;Pellérd;826;307;138;;;;1;;1;;;;;;;;
Arka;3885;;26198;község;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;5;Abaújkér;949;53;72;;;;;;;;;;;;;;
Arló;3663;;14331;nagyközség;Borsod-Abaúj-Zemplén;062 0;Ózdi;Ózd;1;–;4687;3454;1119;;;;;;;;1;;;;;;
Arnót;3713;;03771;község;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;1;–;1754;2254;820;;;;;;;;1;;;;;;
Ároktő;3467;;03823;község;Borsod-Abaúj-Zemplén;059 0;Mezőcsáti;Mezőcsát;5;Mezőcsát;4641;1032;452;;;;;;;;1;;;;;;
Árpádhalom;6623;;19062;község;Csongrád-Csanád;076 0;Szentesi;Szentes;5;Fábiánsebestyén;4520;370;227;;;;;;;;;;;;;;
Árpás;9132;;32249;község;Győr-Moson-Sopron;092 0;Téti;Tét;5;Gyarmat;1425;284;143;;;;;;;;;;;;;;
Ártánd;4115;;03319;község;Hajdú-Bihar;094 0;Berettyóújfalui;Berettyóújfalu;5;Biharkeresztes;1981;505;234;;;;;;;;;;;;;;
Ásotthalom;6783;;10339;nagyközség;Csongrád-Csanád;074 0;Mórahalmi;Mórahalom;1;–;12254;3665;1900;;;;;;;;;;;;;;
Ásványráró;9177;;26921;község;Győr-Moson-Sopron;089 0;Mosonmagyaróvári;Mosonmagyaróvár;5;Kimle;3911;2170;903;;;;;;;;;;;;;;
Aszaló;3841;;04233;község;Borsod-Abaúj-Zemplén;067 0;Szikszói;Szikszó;2;[Helyben];2536;1834;620;;;;;;;;1;;;;;;
Ászár;2881;;23852;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;2;[Helyben];1868;1395;675;;;;;;;;;;;;;;
Aszód;2170;;16188;város;Pest;122 1;Aszódi;Aszód;1;–;1620;6096;2650;;;;;;;;1;;;;;;
Aszófő;8241;;07339;község;Veszprém;185 0;Balatonfüredi;Balatonfüred;5;Tihany;832;485;203;;;;;;;;;;;;;;
Áta;7763;;28583;község;Baranya;028 0;Pécsi;Pécs;5;Pécsudvard;809;159;87;;;;;;;;;;;;;;
Átány;3371;;06503;község;Heves;108 0;Hevesi;Heves;2;[Helyben];5044;1426;517;;;;;;;;1;;;;;;
Atkár;3213;;16090;község;Heves;106 0;Gyöngyösi;Gyöngyös;5;Visonta;3376;1750;747;;;;;;;;;;;;;;
Attala;7252;;32735;község;Tolna;171 0;Dombóvári;Dombóvár;5;Dombóvár;2064;707;346;;;;;;;;;;;;;;
Babarc;7757;;05403;község;Baranya;024 0;Bólyi;Bóly;2;[Helyben];1885;659;310;;;;;;1;;1;;;;;;
Babarcszőlős;7814;;09663;község;Baranya;031 0;Siklósi;Siklós;5;Diósviszló;425;96;60;;;;;;;;;;;;;;
Babócsa;7584;;30474;község;Somogy;140 0;Barcsi;Barcs;5;Csokonyavisonta;3099;1332;685;;;;;;;;1;;;;;;
Bábolna;2943;;19363;város;Komárom-Esztergom;112 0;Komáromi;Komárom;2;[Helyben];3354;3424;1389;;;;;;;;;;;;;;
Bábonymegyer;8658;;28316;község;Somogy;147 0;Tabi;Tab;5;Tab;2193;770;339;;;;;;;;;;;;;;
Babosdöbréte;8983;;21263;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Zalaszentgyörgy;1252;504;241;;;;;;;;;;;;;;
Babót;9351;;15042;község;Győr-Moson-Sopron;088 0;Kapuvári;Kapuvár;5;Szárföld;2167;1068;490;;;;;;;;;;;;;;
Bácsalmás;6430;;10719;város;Bács-Kiskun;034 1;Bácsalmási;Bácsalmás;2;[Helyben];10829;5963;3109;;;;1;;1;;1;;;;;;
Bácsbokod;6453;;10180;nagyközség;Bács-Kiskun;034 0;Bácsalmási;Bácsalmás;1;–;6393;2288;1175;;;;1;;1;;;;;;;;
Bácsborsód;6454;;27234;község;Bács-Kiskun;034 0;Bácsalmási;Bácsalmás;5;Katymár;7752;1022;419;;;;;;1;;;;;;;;
Bácsszentgyörgy;6511;;08697;község;Bács-Kiskun;035 0;Bajai;Baja;5;Gara;1474;125;86;;;;;;;;;;;;;;
Bácsszőlős;6425;;30155;község;Bács-Kiskun;034 0;Bácsalmási;Bácsalmás;5;Bácsalmás;3883;286;209;;;;;;;;;;;;;;
Badacsonytomaj;8257;Badacsonyörs;22327;város;Veszprém;189 0;Tapolcai;Tapolca;2;[Helyben];3270;2101;1198;;;;;;;;;;;;;;
Badacsonytomaj;8258;;22327;város;Veszprém;189 0;Tapolcai;Tapolca;2;[Helyben];3270;2101;1198;;;;;;;;;;;;;;
Badacsonytomaj;8261;Badacsony;22327;város;Veszprém;189 0;Tapolcai;Tapolca;2;[Helyben];3270;2101;1198;;;;;;;;;;;;;;
Badacsonytördemic;8263;;03267;község;Veszprém;189 0;Tapolcai;Tapolca;5;Szigliget;1025;867;503;;;;;;;;;;;;;;
Bag;2191;;09131;nagyközség;Pest;122 0;Aszódi;Aszód;1;–;2355;3712;1340;;;;;;;;;;;;;;
Bagamér;4286;;20011;nagyközség;Hajdú-Bihar;101 0;Nyíradonyi;Nyíradony;1;–;4702;2355;935;;;;;;;;1;;;;;;
Baglad;8977;;11059;község;Zala;194 0;Lenti;Lenti;5;Rédics;486;44;38;;;;;;;;;;;;;;
Bagod;8992;;30368;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;2;[Helyben];1637;1186;472;;;;;;;;;;;;;;
Bágyogszovát;9145;;28769;község;Győr-Moson-Sopron;086 0;Csornai;Csorna;5;Szany;2406;1233;555;;;;;;;;;;;;;;
Baj;2836;;29212;község;Komárom-Esztergom;114 0;Tatai;Tata;1;–;2112;2833;1673;;;;;;1;;;;;;;;
Baja;6500;;03522;megyei jogú város;Bács-Kiskun;035 1;Bajai;Baja;1;–;17789;32401;17325;;;;1;;1;;1;;;1;;;
Baja;6503;Bajaszentistván;03522;megyei jogú város;Bács-Kiskun;035 1;Bajai;Baja;1;–;17789;32401;17325;;;;1;;1;;1;;;1;;;
Bajánsenye;9944;;17020;község;Vas;177 0;Körmendi;Körmend;5;Őriszentpéter;2185;487;244;;;;;;;;;;;;;;
Bajna;2525;;16744;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;2;[Helyben];3728;1819;782;;;;;;;;;;;;;;
Bajót;2533;;29355;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;2;[Helyben];1643;1597;552;;;;;;;;1;;;;;;
