Helység.megnevezése;IRSZ;Településrész;Helység.KSH.kódja;Helység.jogállása;Vármegye.megnevezése;Járás.kódja;Járás.neve;Járás.székhelye;Polgármesteri.hivatal..közös.önkormányzati.hivatal.kódja;Polgármesteri.hivatal..közös.önkormányzati.hivatal.székhelye;Terület...hektár.;Lakó.népesség;Lakások.száma;Becsült.terület.adatokkal;NemzetisegiOnkormanyzat_bolgár;NemzetisegiOnkormanyzat_görög;NemzetisegiOnkormanyzat_horvát;NemzetisegiOnkormanyzat_lengyel;NemzetisegiOnkormanyzat_német;NemzetisegiOnkormanyzat_örmény;NemzetisegiOnkormanyzat_roma;NemzetisegiOnkormanyzat_román;NemzetisegiOnkormanyzat_ruszin;NemzetisegiOnkormanyzat_szerb;NemzetisegiOnkormanyzat_szlovák;NemzetisegiOnkormanyzat_szlovén;NemzetisegiOnkormanyzat_ukrán
Bükkaranyos;3554;;27890;község;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;5;Kisgyőr;2620;1505;540;;;;;;;;1;;;;;;
Bükkmogyorósd;3648;;19406;község;Borsod-Abaúj-Zemplén;062 0;Ózdi;Ózd;5;Nekézseny;990;122;106;;;;;;;;;;;;;;
Bükkösd;7682;;23162;község;Baranya;032 0;Szentlőrinci;Szentlőrinc;5;Bicsérd;3015;1000;451;;;;;;1;;1;;;;;;
Bükkszék;3335;;02963;község;Heves;109 0;Pétervásárai;Pétervására;5;Sirok;1530;647;433;;;;;;;;;;;;;;
Bükkszenterzsébet;3257;;10621;község;Heves;109 0;Pétervásárai;Pétervására;5;Istenmezeje;2486;947;457;;;;;;;;;;;;;;
Bükkszentkereszt;3557;;08022;község;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;2;[Helyben];2697;1151;583;;;;;;;;;;;;1;;
Bükkszentmárton;3346;;22099;község;Heves;103 0;Bélapátfalvai;Bélapátfalva;5;Bélapátfalva;826;333;121;;;;;;;;1;;;;;;
Bükkzsérc;3414;;32887;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;5;Cserépfalu;3724;887;508;;;;;;;;;;;;;;
Bürüs;7973;;07533;község;Baranya;033 0;Szigetvári;Szigetvár;5;Kétújfalu;1630;75;37;;;;;;;;;;;;;;
Büssü;7273;;08703;község;Somogy;143 0;Kaposvári;Kaposvár;5;Gölle;1719;330;138;;;;;;;;;;;;;;
Büttös;3821;;23977;község;Borsod-Abaúj-Zemplén;056 0;Encsi;Encs;5;Krasznokvajda;1818;139;97;;;;;;;;;;;;;;
Cák;9725;;08271;község;Vas;178 0;Kőszegi;Kőszeg;5;Lukácsháza;648;296;146;;;;;;;;;;;;;;
Cakóháza;9165;;27085;község;Győr-Moson-Sopron;086 0;Csornai;Csorna;5;Kóny;288;61;31;;;;;;;;;;;;;;
Cece;7013;;13152;nagyközség;Fejér;084 0;Sárbogárdi;Sárbogárd;2;[Helyben];5885;2490;1104;;;;;;;;1;;;;;;
Cégénydányád;4732;;09681;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Tunyogmatolcs;1208;600;273;;;;;;;;;;;;;;
Cegléd;2700;;11341;város;Pest;124 1;Ceglédi;Cegléd;2;[Helyben];24490;36125;16340;;;;;;1;;1;;;;;;1
Cegléd;2738;Budai út;11341;város;Pest;124 1;Ceglédi;Cegléd;2;[Helyben];24490;36125;16340;;;;;;1;;1;;;;;;1
Ceglédbercel;2737;;20640;község;Pest;124 0;Ceglédi;Cegléd;1;–;2815;4248;1704;;;;;;1;;;;;;;;
Celldömölk;9500;;27094;város;Vas;176 1;Celldömölki;Celldömölk;2;[Helyben];5239;9600;4693;;;;;;;;1;;;;;;
Celldömölk;9541;Izsákfa;27094;város;Vas;176 1;Celldömölki;Celldömölk;2;[Helyben];5239;9600;4693;;;;;;;;1;;;;;;
Cered;3123;;03665;község;Nógrád;120 0;Salgótarjáni;Salgótarján;5;Somoskőújfalu;3858;942;548;;;;;;;;1;;;;;;
Chernelházadamonya;9624;;09876;község;Vas;179 0;Sárvári;Sárvár;5;Bő;785;207;105;;;;;;;;;;;;;;
Cibakháza;5462;;22938;nagyközség;Jász-Nagykun-Szolnok;165 0;Kunszentmártoni;Kunszentmárton;2;[Helyben];3821;3546;1875;;;;;;;;1;;;;;;
Cigánd;3973;;03939;város;Borsod-Abaúj-Zemplén;054 1;Cigándi;Cigánd;2;[Helyben];5676;2780;1073;;;;;;;;1;;;;;;
Cikó;7161;;19284;község;Tolna;170 0;Bonyhádi;Bonyhád;5;Kakasd;1986;879;355;;;;;;1;;;;;;;;
Cirák;9364;;15954;község;Győr-Moson-Sopron;088 0;Kapuvári;Kapuvár;5;Vitnyéd;1176;516;264;;;;;;;;;;;;;;
Cún;7843;;11086;község;Baranya;031 0;Siklósi;Siklós;5;Kovácshida;1843;184;88;;;;;;;;1;;;;;;
Csabacsűd;5551;;31334;nagyközség;Békés;052 0;Szarvasi;Szarvas;2;[Helyben];6685;1595;838;;;;;;;;;;;;1;;
Csabaszabadi;5609;;34078;község;Békés;046 0;Békéscsabai;Békéscsaba;5;Újkígyós;3271;268;151;;;;;;;;;;;;1;;
Csabdi;2064;;30544;község;Fejér;077 0;Bicskei;Bicske;5;Felcsút;1702;1330;469;;;;;;;;;;;;;;
Csabrendek;8474;;30924;nagyközség;Veszprém;188 0;Sümegi;Sümeg;2;[Helyben];4492;2896;1094;;;;;;;;;;;;;;
Csáfordjánosfa;9375;;10047;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Iván;528;229;102;;;;;;;;;;;;;;
Csaholc;4967;;12928;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;2;[Helyben];1935;495;178;;;;;;;;1;;;;;;
Csajág;8163;;16072;község;Veszprém;184 0;Balatonalmádi;Balatonalmádi;5;Balatonfőkajár;2229;761;356;;;;;;;;;;;;;;
Csákány;8735;;03799;község;Somogy;144 0;Marcali;Marcali;5;Somogysámson;1609;314;179;;;;;;;;;;;;;;
Csákánydoroszló;9919;;03911;község;Vas;177 0;Körmendi;Körmend;5;Körmend;2661;1674;617;;;;;;;;;;;;;;
Csákberény;8073;;05360;község;Fejér;082 0;Móri;Mór;5;Csókakő;4137;1121;530;;;;;;;;;;;;;;
Csákvár;8083;;20002;város;Fejér;077 0;Bicskei;Bicske;2;[Helyben];11876;5398;2090;;;;;;;;;;;;;;
Csanádalberti;6915;;02121;község;Csongrád-Csanád;073 0;Makói;Makó;2;[Helyben];1532;402;236;;;;;;;;;;;;;;
Csanádapáca;5662;;20455;község;Békés;050 0;Orosházi;Orosháza;2;[Helyben];5130;2283;1318;;;;;;;;;;;;;;
Csanádpalota;6913;;05379;város;Csongrád-Csanád;073 0;Makói;Makó;2;[Helyben];7797;2466;1537;;;;;;;;;1;;;;;
Csánig;9654;;26772;község;Vas;179 0;Sárvári;Sárvár;5;Répcelak;819;370;173;;;;;;;;;;;;;;
Csány;3015;;16841;község;Heves;107 0;Hatvani;Hatvan;1;–;4789;2068;973;;;;;;;;1;;;;;;
Csányoszró;7964;;19901;község;Baranya;030 0;Sellyei;Sellye;2;[Helyben];2856;531;252;;;;;;;;1;;;;;;
Csanytelek;6647;;22293;község;Csongrád-Csanád;070 0;Csongrádi;Csongrád;1;–;3471;2556;1251;;;;;;;;;;;;;;
Csapi;8756;;06132;község;Zala;196 0;Nagykanizsai;Nagykanizsa;5;Nagyrécse;1011;139;99;;;;;;;;1;;;;;;
Csapod;9372;;08563;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Petőháza;2917;600;286;;;;;;;;;;;;;;
Csárdaszállás;5621;;25502;község;Békés;047 0;Gyomaendrődi;Gyomaendrőd;5;Gyomaendrőd;5416;373;217;;;;;;;;;;;;;;
Csarnóta;7811;;30614;község;Baranya;031 0;Siklósi;Siklós;5;Nagyharsány;533;133;55;;;;;;;;;;;;;;
Csaroda;4844;;29416;község;Szabolcs-Szatmár-Bereg;159 0;Vásárosnaményi;Vásárosnamény;2;[Helyben];2468;542;246;;;;;;;;;;;;;;
Császár;2858;;16416;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;5;Kisbér;6781;1799;735;;;;;;;;;;;;;;
Császártöltés;6239;;10472;község;Bács-Kiskun;039 0;Kiskőrösi;Kiskőrös;1;–;8206;2038;1030;;;;;;1;;;;;;;;
Császló;4973;;09715;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Rozsály;1018;314;148;;;;;;;;1;;;;;;
Csátalja;6523;;26471;község;Bács-Kiskun;035 0;Bajai;Baja;5;Nagybaracska;3905;1216;653;;;;;;1;;;;;;;;
Csatár;8943;;23436;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Egervár;779;534;209;;;;;;;;;;;;;;
Csataszög;5064;;34175;község;Jász-Nagykun-Szolnok;167 0;Szolnoki;Szolnok;5;Nagykörű;1121;314;127;;;;;;;;;;;;;;
Csatka;2888;;33109;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;5;Bakonyszombathely;1777;232;177;;;;;;;;;;;;;;
Csávoly;6448;;16373;község;Bács-Kiskun;035 0;Bajai;Baja;5;Felsőszentiván;4742;1570;813;;;;1;;1;;;;;;;;
Csebény;7935;;21591;község;Baranya;033 0;Szigetvári;Szigetvár;5;Szentlászló;376;69;49;;;;;;;;;;;;;;
Csécse;3052;;30270;község;Nógrád;118 0;Pásztói;Pásztó;5;Ecseg;2173;789;410;;;;;;;;1;;;;;;
Csegöld;4742;;26107;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Jánkmajtis;1935;619;261;;;;;;;;;;;;;;
Csehbánya;8445;;20251;község;Veszprém;183 0;Ajkai;Ajka;5;Városlőd;1282;283;132;;;;;;1;;;;;;;;
Csehi;9833;;19488;község;Vas;182 0;Vasvári;Vasvár;5;Kám;934;248;143;;;;;;;;;;;;;;
Csehimindszent;9834;;12724;község;Vas;182 0;Vasvári;Vasvár;5;Kám;1543;310;167;;;;;;;;;;;;;;
Csém;2949;;33640;község;Komárom-Esztergom;112 0;Komáromi;Komárom;5;Nagyigmánd;628;408;153;;;;;;;;;;;;;;
Csemő;2713;;05184;község;Pest;124 0;Ceglédi;Cegléd;1;–;7944;4409;1753;;;;;;;;1;;;;;;
Csempeszkopács;9764;;23816;község;Vas;181 0;Szombathelyi;Szombathely;5;Vasszécseny;540;305;122;;;;;;;;;;;;;;
Csengele;6765;;32285;község;Csongrád-Csanád;072 0;Kisteleki;Kistelek;2;[Helyben];6066;1737;957;;;;;;;;;;;;;;
Csenger;4765;;30641;város;Szabolcs-Szatmár-Bereg;149 1;Csengeri;Csenger;2;[Helyben];3616;4322;1939;;;;;;;;1;;;;;;
Csengersima;4743;;24095;község;Szabolcs-Szatmár-Bereg;149 0;Csengeri;Csenger;5;Csenger;2380;623;302;;;;;;;;1;;;;;;
Csengerújfalu;4764;;26851;község;Szabolcs-Szatmár-Bereg;149 0;Csengeri;Csenger;5;Csenger;2561;700;327;;;;;;;;;;;;;;
Csengőd;6222;;12344;község;Bács-Kiskun;039 0;Kiskőrösi;Kiskőrös;1;–;4889;1955;1081;;;;;;;;1;;;;;;
Csénye;9611;;09070;község;Vas;179 0;Sárvári;Sárvár;5;Ikervár;1912;662;296;;;;;;;;;;;;;;
Csenyéte;3837;;08493;község;Borsod-Abaúj-Zemplén;056 0;Encsi;Encs;5;Krasznokvajda;997;562;72;;;;;;;;;;;;;;
Csép;2946;;18272;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;5;Tárkány;2004;332;155;;;;;;;;;;;;;;
Csépa;5475;;13170;község;Jász-Nagykun-Szolnok;165 0;Kunszentmártoni;Kunszentmárton;5;Kunszentmárton;2967;1567;789;;;;;;;;1;;;;;;
Csepreg;9735;;12140;város;Vas;178 0;Kőszegi;Kőszeg;2;[Helyben];4954;3128;1255;;;;1;;;;1;;;;;;
Csér;9375;;30191;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Iván;293;29;27;;;;;;;;;;;;;;
Cserdi;7683;;26082;község;Baranya;032 0;Szentlőrinci;Szentlőrinc;5;Bicsérd;646;371;159;;;;;;;;1;;;;;;
Cserénfa;7472;;25681;község;Somogy;143 0;Kaposvári;Kaposvár;5;Baté;1775;215;87;;;;;;;;;;;;;;
Cserépfalu;3413;;06974;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;2;[Helyben];4465;924;618;;;;;;;;;;;;;;
Cserépváralja;3417;;25575;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;5;Cserépfalu;1462;323;218;;;;;;;;;;;;;;
Cserháthaláp;2694;;21935;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;5;Magyarnándor;1047;353;172;;;;;;;;;;;;;;
Cserhátsurány;2676;;22594;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;2;[Helyben];1880;695;365;;;;;;;;1;;;;;;
Cserhátszentiván;3066;;32319;község;Nógrád;118 0;Pásztói;Pásztó;5;Mátraszőlős;1066;119;114;;;;;;;;;;;;;;
Cserkeszőlő;5465;;05795;község;Jász-Nagykun-Szolnok;165 0;Kunszentmártoni;Kunszentmárton;1;–;3070;2098;1559;;;;;;;;;;;;;;
Cserkút;7673;;03896;község;Baranya;028 0;Pécsi;Pécs;5;Orfű;667;634;232;;;;;;;;;;;;;;
Csernely;3648;;28459;község;Borsod-Abaúj-Zemplén;062 0;Ózdi;Ózd;5;Nekézseny;2062;664;383;;;;;;;;1;;;;;;
Cserszegtomaj;8372;;07135;község;Zala;193 0;Keszthelyi;Keszthely;1;–;1260;3504;1632;;;;;;;;;;;;;;
Csertalakos;8951;;10649;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Bak;199;28;25;;;;;;;;;;;;;;
Csertő;7900;;13851;község;Baranya;033 0;Szigetvári;Szigetvár;5;Mozsgó;1425;395;171;;;;;;;;;;;;;;
Csesznek;8419;;24642;község;Veszprém;192 0;Zirci;Zirc;5;Bakonyszentkirály;2421;428;228;;;;;;;;;;;;;;
Csesztreg;8973;;02583;község;Zala;194 0;Lenti;Lenti;2;[Helyben];2300;781;362;;;;;;;;;;;;;;
Csesztve;2678;;20145;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;5;Szügy;1625;329;179;;;;;;;;1;;;;;;
Csetény;8417;;31699;község;Veszprém;192 0;Zirci;Zirc;2;[Helyben];1837;1767;704;;;;;;;;;;;;;;
Csévharaszt;2212;;18476;község;Pest;130 0;Monori;Monor;1;–;4923;2165;772;;;;;;;;;;;;;;
Csibrák;7225;;11998;község;Tolna;171 0;Dombóvári;Dombóvár;5;Kurd;1462;270;126;;;;;;;;;;;;;;
Csikéria;6424;;15699;község;Bács-Kiskun;034 0;Bácsalmási;Bácsalmás;5;Bácsalmás;2584;614;447;;;;1;;1;;;;;;;;
Csikóstőttős;7341;;30094;község;Tolna;171 0;Dombóvári;Dombóvár;5;Dombóvár;1770;737;354;;;;;;1;;;;;;;;
Csikvánd;9127;;13505;község;Győr-Moson-Sopron;092 0;Téti;Tét;5;Gyarmat;1454;484;224;;;;;;;;;;;;;;
Csincse;3442;;34111;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;5;Mezőnyárád;1134;470;212;;;;;;;;;;;;;;
Csipkerek;9836;;26064;község;Vas;182 0;Vasvári;Vasvár;5;Kám;1313;388;227;;;;;;;;;;;;;;
Csitár;2673;;05050;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;5;Őrhalom;1685;366;193;;;;;;;;1;;;;;;
Csobád;3848;;05333;község;Borsod-Abaúj-Zemplén;056 0;Encsi;Encs;5;Ináncs;1183;683;260;;;;;;;;1;;;;;;
Csobaj;3927;;20774;község;Borsod-Abaúj-Zemplén;069 0;Tokaji;Tokaj;5;Tokaj;1961;601;324;;;;;;;;;;;;;;
Csobánka;2014;;06822;község;Pest;135 0;Szentendrei;Szentendre;1;–;2276;3588;1275;;;;;;1;;1;;;1;1;;
Csókakő;8074;;21908;község;Fejér;082 0;Móri;Mór;2;[Helyben];1092;1576;643;;;;;;;;;;;;;;
Csokonyavisonta;7555;;05971;község;Somogy;140 0;Barcsi;Barcs;2;[Helyben];8129;1450;690;;;;;;;;1;;;;;;
Csokvaomány;3647;;14289;község;Borsod-Abaúj-Zemplén;062 0;Ózdi;Ózd;5;Nekézseny;1500;680;403;;;;;;;;;;;;;;
Csolnok;2521;;18926;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;2;[Helyben];1871;3098;1284;;;;;;1;;;;;;;;
Csólyospálos;6135;;12025;község;Bács-Kiskun;042 0;Kiskunmajsai;Kiskunmajsa;2;[Helyben];6510;1441;897;;;;;;;;;;;;;;
Csoma;7253;;08040;község;Somogy;143 0;Kaposvári;Kaposvár;5;Nagyberki;843;402;178;;;;;;;;;;;;;;
Csomád;2161;;33118;község;Pest;126 0;Dunakeszi;Dunakeszi;5;Fót;1238;1851;707;;;;;;;;;;;;1;;
Csombárd;7432;;02477;község;Somogy;143 0;Kaposvári;Kaposvár;5;Juta;899;268;110;;;;;;;;;;;;;;
Csongrád;6648;Bokros;05111;város;Csongrád-Csanád;070 1;Csongrádi;Csongrád;1;–;17389;15317;8451;;;;;;;;1;;;;;;
Csongrád;6640;;05111;város;Csongrád-Csanád;070 1;Csongrádi;Csongrád;1;–;17389;15317;8451;;;;;;;;1;;;;;;
Csonkahegyhát;8918;;31149;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Gellénháza;828;331;146;;;;;;;;;;;;;;
Csonkamindszent;7940;;22576;község;Baranya;032 0;Szentlőrinci;Szentlőrinc;5;Szentlőrinc;553;179;62;;;;;;;;;;;;;;
Csopak;8229;;02185;község;Veszprém;185 0;Balatonfüredi;Balatonfüred;2;[Helyben];2398;2112;1150;;;;;;;;;;;;;;
Csór;8041;;09779;község;Fejér;085 0;Székesfehérvári;Székesfehérvár;1;–;4149;1914;908;;;;;;;;;;;;;;
Csorna;9168;Földsziget;04039;város;Győr-Moson-Sopron;086 1;Csornai;Csorna;1;–;9195;9572;4413;;;;;;;;;;;;;;
Csorna;9300;;04039;város;Győr-Moson-Sopron;086 1;Csornai;Csorna;1;–;9195;9572;4413;;;;;;;;;;;;;;
Csorvás;5920;;26709;város;Békés;046 0;Békéscsabai;Békéscsaba;1;–;9018;4313;2328;;;;;;;;1;;;;1;;
Csót;8558;;32878;község;Veszprém;187 0;Pápai;Pápa;2;[Helyben];2002;903;361;;;;;;;;1;;;;;;
Csöde;8999;;27492;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Zalalövő;1061;71;56;;;;;;;;;;;;;;
Csögle;8495;;32814;község;Veszprém;186 0;Devecseri;Devecser;5;Somlóvásárhely;1691;511;295;;;;;;;;;;;;;;
Csökmő;4145;;12450;nagyközség;Hajdú-Bihar;094 0;Berettyóújfalui;Berettyóújfalu;1;–;6897;1674;837;;;;;;;;1;;;;;;
Csököly;7526;;24314;község;Somogy;143 0;Kaposvári;Kaposvár;2;[Helyben];2984;915;388;;;;;;;;1;;;;;;
Csömend;8700;;27270;község;Somogy;144 0;Marcali;Marcali;5;Mesztegnyő;866;271;132;;;;;;;;;;;;;;
Csömödér;8957;;29364;község;Zala;194 0;Lenti;Lenti;2;[Helyben];779;572;262;;;;;;;;1;;;;;;
Csömör;2141;;22804;nagyközség;Pest;128 0;Gödöllői;Gödöllő;1;–;2271;10194;3678;;;;;;1;;;;;;1;;
Csönge;9513;;22390;község;Vas;176 0;Celldömölki;Celldömölk;5;Kenyeri;2527;335;191;;;;;;;;;;;;;;
Csörnyeföld;8873;;33978;község;Zala;195 0;Letenyei;Letenye;5;Bázakerettye;2121;349;202;;;;;;;;;;;;;;
Csörög;2135;;34333;község;Pest;138 0;Váci;Vác;1;–;505;2017;760;;;;;;;;1;;;;;;
Csörötnek;9962;;04224;község;Vas;180 0;Szentgotthárdi;Szentgotthárd;2;[Helyben];2053;742;325;;;;;;;;;;;;;1;
Csősz;8122;;06734;község;Fejér;085 0;Székesfehérvári;Székesfehérvár;5;Tác;1711;969;374;;;;;;;;;;;;;;
Csővár;2615;;26985;község;Pest;138 0;Váci;Vác;5;Acsa;1717;621;250;;;;;;;;;;;;1;;
Csurgó;8840;;21315;város;Somogy;141 1;Csurgói;Csurgó;2;[Helyben];5942;4279;2052;;;;;;;;1;;;;;;
Csurgónagymarton;8840;;10603;község;Somogy;141 0;Csurgói;Csurgó;5;Csurgó;1482;152;79;;;;;;;;;;;;;;
Dabas;2370;;09247;város;Pest;125 1;Dabasi;Dabas;1;–;16599;17670;7053;;;;;;;;1;;;;1;;1
Dabas;2371;Sári;09247;város;Pest;125 1;Dabasi;Dabas;1;–;16599;17670;7053;;;;;;;;1;;;;1;;1
Dabas;2373;Gyón;09247;város;Pest;125 1;Dabasi;Dabas;1;–;16599;17670;7053;;;;;;;;1;;;;1;;1
Dabronc;8345;;17172;község;Veszprém;188 0;Sümegi;Sümeg;5;Gógánfa;2027;378;183;;;;;;;;;;;;;;
Dabrony;8485;;28237;község;Veszprém;186 0;Devecseri;Devecser;5;Tüskevár;1700;365;187;;;;;;;;;;;;;;
Dad;2854;;33163;község;Komárom-Esztergom;113 0;Oroszlányi;Oroszlány;2;[Helyben];2375;952;373;;;;;;;;;;;;;;
Dág;2522;;22910;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;2;[Helyben];1189;926;408;;;;;;1;;;;;;;;
Dáka;8592;;20154;község;Veszprém;187 0;Pápai;Pápa;5;Nyárád;2539;643;166;;;;;;;;;;;;;;
Dalmand;7211;;29230;község;Tolna;171 0;Dombóvári;Dombóvár;2;[Helyben];4877;1142;499;;;;;;;;;;;;;;
Damak;3780;;11350;község;Borsod-Abaúj-Zemplén;055 0;Edelényi;Edelény;5;Edelény;753;226;104;;;;;;;;;;;;;;
Dámóc;3978;;07719;község;Borsod-Abaúj-Zemplén;054 0;Cigándi;Cigánd;5;Ricse;1599;274;167;;;;;;;;1;;;;;;
Dánszentmiklós;2735;;31811;község;Pest;124 0;Ceglédi;Cegléd;1;–;3800;2576;1075;;;;;;;;;;;;;;
Dány;2118;;18397;község;Pest;128 0;Gödöllői;Gödöllő;1;–;4301;4529;1604;;;;;;;;1;;;;;;
Daraboshegy;9917;;15990;község;Vas;177 0;Körmendi;Körmend;5;Nádasd;459;95;63;;;;;;;;;;;;;;
Darány;7988;;31352;község;Somogy;140 0;Barcsi;Barcs;2;[Helyben];2810;772;329;;;;1;;;;1;;;;;;
Darnó;4737;;18795;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Jánkmajtis;464;149;63;;;;;;;;1;;;;;;
Darnózseli;9232;;21865;község;Győr-Moson-Sopron;089 0;Mosonmagyaróvári;Mosonmagyaróvár;2;[Helyben];1961;1615;626;;;;;;;;;;;;;;
Daruszentmiklós;2423;;34342;község;Fejér;078 0;Dunaújvárosi;Dunaújváros;5;Kisapostag;1912;1044;550;;;;;;;;;;;;;;
Darvas;4144;;14678;község;Hajdú-Bihar;094 0;Berettyóújfalui;Berettyóújfalu;5;Zsáka;4231;447;274;;;;;;;;;;;;;;
Dávod;6524;;10533;község;Bács-Kiskun;035 0;Bajai;Baja;2;[Helyben];6921;1738;1074;;;;;;;;1;;;;;;
Debercsény;2694;;07320;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;5;Magyarnándor;543;84;52;;;;;;;;;;;;;;
Debrecen;4042;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4033;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4027;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4028;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4030;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4000;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4029;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4225;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4025;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4026;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4063;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4034;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4079;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4078;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4032;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4031;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4024;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debrecen;4002;;15130;megyeszékhely, megyei jogú város;Hajdú-Bihar;095 1;Debreceni;Debrecen;1;–;46166;202130;100621;;1;1;;1;1;1;1;1;1;;;;1
Debréte;3825;;31954;község;Borsod-Abaúj-Zemplén;055 0;Edelényi;Edelény;5;Szalonna;962;13;29;;;;;;;;;;;;;;
Decs;7144;;24989;nagyközség;Tolna;173 0;Szekszárdi;Szekszárd;2;[Helyben];9467;3737;1522;;;;;;;;1;;;;;;
Dédestapolcsány;3643;;04686;község;Borsod-Abaúj-Zemplén;058 0;Kazincbarcikai;Kazincbarcika;5;Szuhakálló;2943;1235;738;;;;;;;;;;;;;;
Dég;8135;;32753;község;Fejér;079 0;Enyingi;Enying;1;–;4689;1963;877;;;;;;;;;;;;;;
Dejtár;2649;;12511;község;Nógrád;116 0;Balassagyarmati;Balassagyarmat;5;Drégelypalánk;2142;1278;554;;;;;;;;1;;;;;;
Délegyháza;2337;;09973;község;Pest;136 0;Szigetszentmiklósi;Szigetszentmiklós;1;–;2560;6082;2295;;;;;;;;1;;;;;;
